Core --> ,O,I,K,B,J,G,C,F,Q,J,D,Q,K,G,O,D,K,A,E,Q,J,L,F,,,,,,,
Scientists --> ,Chelsea & Gwen,Eli & Zaki,Carter & Jake,Mariana & Sofia,David & Zack,Gaya & Mia,Ruihan & Aidan,Sarah & Ytien,Sofi & Sage,Alex & Ben,Emily & Winnie,Safiya & Sonia,John & Mae,Molly & Katie,Isaac & Armani,Teo & Michael,Kylie & Abby,Wilson & Daniel,David & Jeffrey,Emery & Nathaniel,Sumedha & Ishara,"Sana, Frankie, Ezria",Astrid & Meredith,,,,,,,
Location--> ,Hillside Pond,Hillside Pond,Hillside Pond,Heath School,Hillside Pond,Hillside Pond,Heath School,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,Hillside Pond,,,,,,,
Species --> ,Pine,Oak,Pine,Oak,Oak,Oak,Oak,Oak,Pine,Oak,Oak,Pine,Pine,Oak,Pine,Oak,Pine,Oak,Oak,Pine,Oak,Pine,Oak,,,,,,,
Year,Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),Measurement (mm),Ring Thickness (mm),Measurement (mm),Ring Thickness (mm),Measurement (mm),Ring Thickness (mm),Ring Thickness (mm),Ring Thickness (mm),"AVG (oak, hillside pond",Total Rainfall - Yearly (meters),10 yr avg thickness,10 yr avg rainfall,Temperature Anomaly (Yearly Average temperature compared to 1961-1990),10 yr avg temperature anomoly,Total CO2 concentration (ppm)
2022,2,1,9,0.5,1,4,0.5,1,7,1,1,1.5,2,1,2,1,2,2,1,1,0,5,1,1.25,,1.73,1.242262072,,,
2021,4,6,6,0.5,1,3,1,1,4,2,1,1.5,4,2,2,2,5,1,1,1,1,2,1,1.833333333,,,,,,415.52
2020,3,4,2,1.2,2,2,0.5,2,2.5,1.5,2,3,3,2,2,1.5,2,1,1,1.2,0.7,5,3,1.891666667,1.17051489,,,1.933542958,1.240432202,414.348
2019,3,2,1,3.8,2,2,1,3,3.5,1.5,2,3,3,1,2,2,1,1,1,3,1.8,2,5,2.025,1.39860945,,,0.8893831333,,411.739
2018,2,2,1,4.1,1,2,1.5,3,4,1,2,3,6,3,1,1,3,1,1,3,2,4,4,1.916666667,1.555659,,,1.242933025,,408.71
2017,2,2,2,1.9,1,1,1.5,1,3.5,1,2,2,2,4,1,1.2,2,1,1,4,1,2,1,1.433333333,1.27064657,,,1.342831658,,406.879
2016,4,1,2,3.5,1,3,1,1,5.5,1.5,1,5,2,2,1,1,3,2,1,4,0.5,3,1,1.333333333,1.00693398,,,1.663184892,,404.459
2015,4,2,3,2.7,1,1,1,2,3.5,3.5,2,4,1,5,2,1,1,1,1,3,1.5,3,4,2.083333333,1.11034232,,,0.7664784158,,400.982
2014,4,1,3,1.3,4,5,1,1,3,0.25,1,4.5,2,2,2,2,2,1,1,5,0.7,7,1,1.6625,1.32458605,,,0.24006515,,398.927
2013,4,1,5,0.5,0,5,1.5,3,5.5,0.75,2,3.5,2,1,2,2.1,2,2,0.8,5,1.8,3,3,1.870833333,1.21496135,,,0.8065940083,,396.846
2012,3,1,4,0.5,1,3,1.5,2,6,0.75,2,4,3,5,2,2,1.5,1,1.2,4,1,3,2,1.829166667,1.12810504,1.6425,1.282139622,2.259777117,,394.09
2011,2,2,3,9.5,1,2,1,1,6,1.25,1,6,3,2,3.5,1.2,2.5,1,1,3,1,3,4,1.5375,1.54534281,,,1.259531667,,391.967
2010,4,2,3,4,2,3,1.5,2,2,0.25,3,5,4,2,2.5,1.3,3.5,2,0.5,2,0.5,4,4,1.879166667,1.1655328,,,1.451125233,0.7321728067,390.236
2009,2,1,3,3,1,1,1,2,3.5,0.75,2,5,5,1,2,1,4.5,2,1.5,3,0.2,3,1,1.204166667,1.30113381,,,0.2707493875,,387.785
2008,3,5,3,5.5,1,1,1.5,2,2,1,2,3,3,2,1.5,1,4.5,1,0.4,3,0.3,1,2,1.558333333,1.46134155,,,0.7253160017,,385.977
2007,2,1,3,3.5,1,2,1,2,3,1.5,3,3,3,1,2.5,1.1,2.5,1,1,4,1,2,3,1.55,1.12368981,,,0.5626108742,,384.141
2006,2,1,2,4.5,1,2,1.5,2,3.5,1,2,2,3,2,1.5,1.3,3.5,1,1,4,0.5,5,5,1.65,1.34853232,,,1.462997583,,382.272
2005,2,2,3,3.5,1,3,1,4,4.5,1.5,2,3.5,3,1,1.5,1,3.5,2,1,4,0.5,2,5,2,1.28183616,,,0.6277374083,,380.094
2004,1,2,4,4.5,1,2,0.5,2,4,1,2,4,4,2,2.5,2,2.75,2,1.5,5,2,4,2,1.791666667,1.19704904,,,0.1314399125,,377.837
2003,1,1,4,4.9,1,2,1.5,1,4.5,0.5,1,3.5,1.5,1,1.5,2.1,3.25,2,1,6,0.5,4,4,1.425,1.35508065,,,-0.1023870667,,376.079
2002,1,3,4,4.6,1,2,0.5,5,5,1,2,5,2.5,2,2,1.7,2.5,1,1,6,1,2,6,2.225,1.19589185,1.926666667,1.173022905,1.182168817,,373.502
2001,2,2,6,6.5,1,3,1,2,6,0.5,1,4.5,4,1,3,1.3,2.5,0.7,1.1,3,1,5,7,1.8,1.01628751,,,1.009969917,,371.447
2000,1,3,3,5.5,1,1,2,2,4,0.5,1,0.5,4,2,2,1.5,3,0.7,1,4,0.5,5,3,1.433333333,1.26539523,,,0.1467287833,0.3464380165,369.813
1999,2,1,4,4.5,1,1,1,3,5,0.5,2,4,4,2,2,1,5,1,1,1,0.5,2,3,1.416666667,1.15224301,,,1.258038558,,368.734
1998,1,6,3,5,1,4,2,2,5.5,1,2,6,6,1,2,1.2,4.5,1,0.8,2,1,4,6,2.25,1.29882261,,,1.415839163,,366.911
1997,2,1,4,3.5,1,2,1,3,5.5,2,1,5,3,3,2,1,5.5,1.1,1,2,1.5,2,2,1.633333333,1.01270466,,,-0.02881147833,,363.937
1996,2,2,3,4.2,1,2,1,1,5,0.5,4,4,4,2,1,1,3.5,1,0.5,3,0.5,4,8,1.958333333,1.48588878,,,-0.2112976275,,362.949
1995,2,2,3,2.9,1,1,1.5,6,6,0.5,2,5,3,2,1,0.9,3.5,1.1,0.7,2,0.5,3,8,2.141666667,1.03362367,,,0.3348231167,,361.119
1994,2,2,1,0.6,1,1,0.5,5,4.5,1,1,5,4,2,1,1.1,3,1,0.5,2,1,2,11,2.3,1.20267228,,,0.0346849175,,359.076
1993,4,4,4,0.2,1,2,1,3,5,1.5,2,5,4,3,1,1.4,4,1,1.1,1,0.3,4,5,2.108333333,1.11843786,,,-0.08968835908,,357.402
1992,2,3,3,10.1,1,2,1,2,3.5,0.5,1,6,2,2,1.5,1.6,4,2,1,1,0.2,4,11,2.275,1.1212845,2.508484848,1.209022615,-0.50528605,,356.845
1991,2,2,3,4,2,1,0.5,5,3,7.5,2,4.5,2,2,1.5,1.7,3,2,1.5,1,0.3,3,13,3.333333333,1.18250641,,,1.109349142,,355.935
1990,1,10,5,4,11,3,0.5,1,4,1.5,1,5.5,3,2,2,1.7,1,1,2,3,0.4,4,1,2.966666667,1.26999757,,,1.1413345,0.1701790769,354.588
